username,trial_number,trial_result
A0212005.0,15,0
A0212005.0,16,1
A0232005.0,1,1
A0232005.0,2,1
A0232005.0,3,1
A0232005.0,4,1
A0232005.0,5,1
A0232005.0,6,1
A0232005.0,7,1
A0232005.0,8,1
A0232005.0,9,1
A0232005.0,10,1
A0232005.0,11,0
A0232005.0,12,1
A0232005.0,13,1
A0232005.0,14,0
A0232005.0,15,0
A0232005.0,16,1
A0232005.0,17,1
A0232005.0,18,0
A0232005.0,19,1
A0232005.0,20,1
A0232005.0,21,1
A0232005.0,22,1
A0232005.0,23,1
A0232005.0,24,0
A0232005.0,25,0
A0232005.0,26,0
A0242005.0,1,1
A0242005.0,2,0
A0242005.0,3,1
A0242005.0,4,1
A0242005.0,5,1
A0242005.0,6,0
A0242005.0,7,1
A0242005.0,8,0
A0242005.0,9,1
A0242005.0,10,1
A0242005.0,11,0
A0242005.0,12,0
A0242005.0,13,1
A0252005.0,1,1
A0252005.0,2,1
A0252005.0,3,1
A0252005.0,4,1
A0252005.0,5,1
A0252005.0,6,1
A0252005.0,7,0
A0252005.0,8,1
A0252005.0,9,1
A0252005.0,10,1
A0252005.0,11,0
A0252005.0,12,1
A0252005.0,13,1
A0252005.0,14,0
A0252005.0,15,1
A0252005.0,16,1
A0252005.0,17,1
A0252005.0,18,1
A0252005.0,19,1
A0252005.0,20,1
A0262005.0,1,1
A0262005.0,2,0
A0262005.0,3,0
A0262005.0,4,1
A0262005.0,5,0
A0262005.0,6,0
A0262005.0,7,0
A0272005.0,1,1
A0272005.0,2,1
A0272005.0,3,1
A0272005.0,4,1
A0272005.0,5,1
A0272005.0,6,1
A0272005.0,7,1
A0272005.0,8,1
A0272005.0,9,1
A0272005.0,10,1
A0272005.0,11,1
A0272005.0,12,1
A0312005.0,1,1
A0312005.0,2,1
A0312005.0,3,1
A0312005.0,4,1
A0312005.0,5,0
A0312005.0,6,1
A0312005.0,7,1
A0312005.0,8,1
A0312005.0,9,1
A0312005.0,10,1
A0312005.0,11,1
A0312005.0,12,1
A0312005.0,13,1
A0312005.0,14,1
A0312005.0,15,1
A0312005.0,16,1
A0322005.0,1,0
A0322005.0,2,0
A0322005.0,3,1
A0322005.0,4,0
A0322005.0,5,1
A0322005.0,6,1
A0322005.0,7,0
A0322005.0,8,0
A0322005.0,9,1
A0322005.0,10,0
A0322005.0,11,0
A0322005.0,12,0
A0332005.0,1,1
A0332005.0,2,1
A0332005.0,3,1
A0332005.0,4,1
A0332005.0,5,1
A0332005.0,6,1
A0332005.0,7,1
A0332005.0,8,1
A0332005.0,9,0
A0332005.0,10,1
A0332005.0,11,1
A0332005.0,12,1
A0332005.0,13,1
A0332005.0,14,1
A0332005.0,15,1
A0332005.0,16,1
A0332005.0,17,1
A0332005.0,18,1
A0332005.0,19,1
A0332005.0,20,1
A0332005.0,21,0
A0362005.0,1,0
A0362005.0,2,0
A0362005.0,3,0
A0362005.0,4,1
A0362005.0,5,1
A0362005.0,6,0
A0362005.0,7,0
A0362005.0,8,0
A0382005.0,1,1
A0382005.0,2,1
A0382005.0,3,1
A0382005.0,4,1
A0382005.0,5,1
A0382005.0,6,1
A0382005.0,7,1
A0382005.0,8,1
A0382005.0,9,1
A0382005.0,10,1
A0382005.0,11,0
A0382005.0,12,0
A0382005.0,13,1
A0382005.0,14,1
A0382005.0,15,1
A0382005.0,16,0
A0382005.0,17,1
A0382005.0,18,0
A0382005.0,19,1
A0382005.0,20,1
A0412005.0,1,1
A0412005.0,2,1
A0412005.0,3,1
A0412005.0,4,1
A0412005.0,5,1
A0412005.0,6,1
A0412005.0,7,1
A0412005.0,8,1
A0412005.0,9,1
A0412005.0,10,1
A0412005.0,11,1
A0412005.0,12,1
A0412005.0,13,1
A0412005.0,14,1
A0412005.0,15,1
A0412005.0,16,1
A0412005.0,17,1
A0412005.0,18,1
A0412005.0,19,1
A0432005.0,1,1
A0432005.0,2,0
A0432005.0,3,1
A0432005.0,4,1
A0432005.0,5,1
A0432005.0,6,0
A0432005.0,7,0
A0432005.0,8,1
A0432005.0,9,0
A0432005.0,10,0
A0432005.0,11,0
A0442005.0,1,1
A0442005.0,2,1
A0442005.0,3,1
A0442005.0,4,1
A0442005.0,5,1
A0442005.0,6,1
A0442005.0,7,1
A0442005.0,8,1
A0442005.0,9,1
A0442005.0,10,1
A0442005.0,11,1
A0442005.0,12,1
A0442005.0,13,1
A0442005.0,14,1
A0442005.0,15,1
A0442005.0,16,1
A0442005.0,17,1
A0442005.0,18,1
A0442005.0,19,1
A0442005.0,20,1
A0442005.0,21,1
A0442005.0,22,0
A0442005.0,23,0
A0442005.0,24,0
A0452005.0,1,1
A0452005.0,2,1
A0452005.0,3,1
A0452005.0,4,1
A0452005.0,5,1
A0452005.0,6,1
A0452005.0,7,1
A0452005.0,8,1
A0452005.0,9,1
A0452005.0,10,1
A0452005.0,11,1
A0452005.0,12,1
A0452005.0,13,1
A0452005.0,14,1
A0452005.0,15,1
A0452005.0,16,1
A0452005.0,17,1
A0452005.0,18,1
A0452005.0,19,1
A0452005.0,20,1
A0452005.0,21,1
A0452005.0,22,1
A0452005.0,23,1
A0452005.0,24,1
A0452005.0,25,1
A0452005.0,26,1
A0452005.0,27,1
A0452005.0,28,1
A0452005.0,29,1
A0452005.0,30,1
A0472005.0,1,0
A0472005.0,2,1
A0472005.0,3,1
A0472005.0,4,0
A0472005.0,5,1
A0472005.0,6,1
A0472005.0,7,1
A0472005.0,8,1
A0472005.0,9,1
A0472005.0,10,0
A0472005.0,11,0
A0472005.0,12,1
A0472005.0,13,0
A0472005.0,14,1
A0472005.0,15,0
A0482005.0,1,1
A0482005.0,2,1
A0482005.0,3,1
A0482005.0,4,1
A0482005.0,5,1
A0482005.0,6,1
A0482005.0,7,1
A0482005.0,8,1
A0482005.0,9,1
A0482005.0,10,1
A0482005.0,11,1
A0482005.0,12,1
A0482005.0,13,1
A0482005.0,14,1
A0482005.0,15,1
A0482005.0,16,1
A0482005.0,17,1
A0482005.0,18,1
A0492005.0,1,1
A0492005.0,2,1
A0492005.0,3,1
A0492005.0,4,1
A0492005.0,5,1
A0492005.0,6,1
A0492005.0,7,0
A0492005.0,8,0
A0502005.0,1,1
A0502005.0,2,0
A0502005.0,3,1
A0502005.0,4,1
A0502005.0,5,1
A0502005.0,6,1
A0502005.0,7,1
A0502005.0,8,1
A0502005.0,9,1
A0502005.0,10,1
A0502005.0,11,0
A0502005.0,12,1
A0502005.0,13,1
A0502005.0,14,0
A0502005.0,15,1
A0502005.0,16,1
A0502005.0,17,1
A0502005.0,18,1
A0502005.0,19,1
A0502005.0,20,1
A0502005.0,21,1
A0502005.0,22,0
A0502005.0,23,1
A0502005.0,24,1
A0502005.0,25,1
A0502005.0,26,0
A0502005.0,27,0
A0522005.0,1,1
A0522005.0,2,1
A0522005.0,3,1
A0522005.0,4,1
A0522005.0,5,1
A0522005.0,6,1
A0522005.0,7,1
A0522005.0,8,1
A0522005.0,9,1
A0522005.0,10,1
A0522005.0,11,0
A0522005.0,12,1
A0522005.0,13,1
A0522005.0,14,0
A0522005.0,15,0
A0522005.0,16,0
A0532005.0,1,1
A0532005.0,2,1
A0532005.0,3,1
A0532005.0,4,1
A0532005.0,5,1
A0532005.0,6,1
A0532005.0,7,1
A0532005.0,8,1
A0532005.0,9,1
A0532005.0,10,1
A0532005.0,11,0
A0532005.0,12,0
A0532005.0,13,1
A0532005.0,14,0
A0532005.0,15,0
A0532005.0,16,0
A0552005.0,1,0
A0552005.0,2,0
A0552005.0,3,1
A0552005.0,4,0
A0552005.0,5,1
A0552005.0,6,0
A0552005.0,7,1
A0552005.0,8,1
A0552005.0,9,1
A0552005.0,10,0
A0552005.0,11,0
A0562005.0,1,1
A0562005.0,2,1
A0562005.0,3,1
A0562005.0,4,1
A0562005.0,5,1
A0562005.0,6,0
A0562005.0,7,0
A0562005.0,8,1
A0562005.0,9,1
A0562005.0,10,0
A0562005.0,11,1
A0572005.0,1,1
A0572005.0,2,0
A0572005.0,3,1
A0572005.0,4,1
A0572005.0,5,1
A0572005.0,6,1
A0572005.0,7,1
A0572005.0,8,0
A0572005.0,9,1
A0572005.0,10,1
A0572005.0,11,0
A0572005.0,12,0
A0572005.0,13,0
A0582005.0,1,0
A0582005.0,2,0
A0582005.0,3,1
A0582005.0,4,1
A0582005.0,5,1
A0582005.0,6,1
A0582005.0,7,1
A0582005.0,8,0
A0582005.0,9,1
A0582005.0,10,0
A0582005.0,11,1
A0582005.0,12,1
A0582005.0,13,0
A0582005.0,14,0
A0582005.0,15,0
A0602005.0,1,0
A0602005.0,2,0
A0602005.0,3,1
A0602005.0,4,1
A0602005.0,5,0
A0602005.0,6,0
A0602005.0,7,1
A0602005.0,8,0
A0602005.0,9,0
A0602005.0,10,1
A0602005.0,11,0
A0602005.0,12,1
A0602005.0,13,0
A0602005.0,14,0
A0602005.0,15,0
A0622005.0,1,1
A0622005.0,2,1
A0622005.0,3,1
A0622005.0,4,1
A0622005.0,5,1
A0622005.0,6,0
A0622005.0,7,0
A0622005.0,8,0
A0642005.0,1,1
A0642005.0,2,1
A0642005.0,3,1
A0642005.0,4,1
A0642005.0,5,1
A0642005.0,6,1
A0642005.0,7,1
A0642005.0,8,1
A0642005.0,9,1
A0642005.0,10,1
A0642005.0,11,1
A0642005.0,12,1
A0642005.0,13,1
A0642005.0,14,1
A0642005.0,15,1
A0642005.0,16,1
A0642005.0,17,1
A0642005.0,18,1
A0642005.0,19,1
A0642005.0,20,0
A0642005.0,21,0
A0642005.0,22,1
A0642005.0,23,0
A0642005.0,24,1
A0642005.0,25,0
A0652005.0,1,1
A0652005.0,2,1
A0652005.0,3,1
A0652005.0,4,1
A0652005.0,5,1
A0652005.0,6,1
A0652005.0,7,1
A0652005.0,8,1
A0652005.0,9,1
A0652005.0,10,1
A0652005.0,11,1
A0652005.0,12,1
A0652005.0,13,1
A0652005.0,14,1
A0652005.0,15,1
A0652005.0,16,1
A0662005.0,1,1
A0662005.0,2,1
A0662005.0,3,1
A0662005.0,4,1
A0662005.0,5,1
A0662005.0,6,1
A0662005.0,7,1
A0662005.0,8,1
A0662005.0,9,1
A0662005.0,10,1
A0662005.0,11,1
A0662005.0,12,1
A0662005.0,13,1
A0662005.0,14,1
A0662005.0,15,1
A0662005.0,16,1
A0662005.0,17,0
A0662005.0,18,1
A0662005.0,19,1
A0662005.0,20,1
A0662005.0,21,1
A0662005.0,22,1
A0662005.0,23,1
A0662005.0,24,1
A0662005.0,25,1
A0682005.0,1,1
A0682005.0,2,1
A0682005.0,3,1
A0682005.0,4,1
A0682005.0,5,1
A0682005.0,6,1
A0682005.0,7,1
A0682005.0,8,1
A0682005.0,9,1
A0682005.0,10,1
A0682005.0,11,0
A0682005.0,12,0
A0682005.0,13,0
A0692005.0,1,1
A0692005.0,2,1
A0692005.0,3,1
A0692005.0,4,1
A0692005.0,5,1
A0692005.0,6,0
A0692005.0,7,1
A0692005.0,8,1
A0692005.0,9,1
A0692005.0,10,1
A0692005.0,11,1
A0692005.0,12,1
A0692005.0,13,1
A0692005.0,14,1
A0692005.0,15,1
A0692005.0,16,0
A0692005.0,17,1
A0692005.0,18,1
A0692005.0,19,1
A0692005.0,20,1
A0692005.0,21,1
A0692005.0,22,0
A0692005.0,23,0
A0692005.0,24,1
A0702005.0,1,1
A0702005.0,2,1
A0702005.0,3,1
A0702005.0,4,1
A0702005.0,5,1
A0702005.0,6,1
A0702005.0,7,1
A0702005.0,8,1
A0702005.0,9,1
A0702005.0,10,1
A0702005.0,11,0
A0702005.0,12,1
A0702005.0,13,1
A0702005.0,14,1
A0702005.0,15,1
A0702005.0,16,1
A0702005.0,17,1
A0702005.0,18,1
A0702005.0,19,1
A0702005.0,20,1
A0702005.0,21,1
A0702005.0,22,1
A0702005.0,23,0
A0702005.0,24,1
A0702005.0,25,1
A0702005.0,26,0
A0702005.0,27,1
A0712005.0,1,0
A0712005.0,2,1
A0712005.0,3,1
A0712005.0,4,1
A0712005.0,5,1
A0712005.0,6,1
A0712005.0,7,1
A0712005.0,8,1
A0712005.0,9,1
A0712005.0,10,1
A0712005.0,11,1
A0712005.0,12,1
A0712005.0,13,1
A0712005.0,14,1
A0712005.0,15,1
A0712005.0,16,1
A0712005.0,17,1
A0712005.0,18,0
A0712005.0,19,1
A0712005.0,20,1
A0712005.0,21,1
A0712005.0,22,1
A0742005.0,1,1
A0742005.0,2,1
A0742005.0,3,1
A0742005.0,4,1
A0742005.0,5,1
A0742005.0,6,1
A0742005.0,7,1
A0742005.0,8,1
A0742005.0,9,1
A0742005.0,10,1
A0742005.0,11,0
A0742005.0,12,0
A0742005.0,13,0
A0762005.0,1,1
A0762005.0,2,1
A0762005.0,3,1
A0762005.0,4,1
A0762005.0,5,1
A0762005.0,6,1
A0762005.0,7,0
A0762005.0,8,1
A0762005.0,9,0
A0772005.0,1,1
A0772005.0,2,1
A0772005.0,3,1
A0772005.0,4,1
A0772005.0,5,1
A0772005.0,6,0
A0772005.0,7,0
A0772005.0,8,0
A0812005.0,1,1
A0812005.0,2,1
A0812005.0,3,1
A0812005.0,4,1
A0812005.0,5,1
A0812005.0,6,1
A0812005.0,7,1
A0812005.0,8,1
A0812005.0,9,1
A0812005.0,10,1
A0812005.0,11,1
A0812005.0,12,1
A0812005.0,13,1
A0812005.0,14,1
A0812005.0,15,1
A0812005.0,16,1
A0842005.0,1,0
A0842005.0,2,0
A0842005.0,3,0
A0842005.0,4,1
A0842005.0,5,1
A0842005.0,6,0
A0842005.0,7,0
A0842005.0,8,0
A0852005.0,1,0
A0852005.0,2,0
A0852005.0,3,1
A0852005.0,4,1
A0852005.0,5,0
A0852005.0,6,1
A0852005.0,7,0
A0872005.0,1,1
A0872005.0,2,1
A0872005.0,3,1
A0872005.0,4,1
A0872005.0,5,0
A0872005.0,6,0
A0882005.0,1,0
A0882005.0,2,0
A0882005.0,3,0
A0882005.0,4,1
A0882005.0,5,1
A0882005.0,6,0
A0882005.0,7,0
A0882005.0,8,1
A0882005.0,9,0
A0882005.0,10,1
A0882005.0,11,0
A0882005.0,12,0
A0882005.0,13,1
A0892005.0,1,1
A0892005.0,2,1
A0892005.0,3,1
A0892005.0,4,1
A0892005.0,5,1
A0892005.0,6,1
A0892005.0,7,1
A0892005.0,8,1
A0892005.0,9,1
A0892005.0,10,1
A0892005.0,11,1
A0892005.0,12,1
A0902005.0,1,0
A0902005.0,2,0
A0902005.0,3,1
A0902005.0,4,1
A0902005.0,5,1
A0902005.0,6,0
A0902005.0,7,1
A0902005.0,8,1
A0902005.0,9,1
A0902005.0,10,0
A0902005.0,11,0
A0912005.0,1,1
A0912005.0,2,1
A0912005.0,3,1
A0912005.0,4,1
A0912005.0,5,1
A0912005.0,6,1
A0912005.0,7,1
A0912005.0,8,1
A0912005.0,9,1
A0912005.0,10,1
A0912005.0,11,1
A0912005.0,12,1
A0912005.0,13,0
A0912005.0,14,1
A0912005.0,15,1
A0912005.0,16,1
A0912005.0,17,1
A0932005.0,1,1
A0932005.0,2,1
A0932005.0,3,1
A0932005.0,4,0
A0932005.0,5,0
A0932005.0,6,0
A0952005.0,1,1
A0952005.0,2,0
A0952005.0,3,1
A0952005.0,4,0
A0952005.0,5,0
A0952005.0,6,1
A0952005.0,7,0
A0952005.0,8,0
A0952005.0,9,0
A0962005.0,1,1
A0962005.0,2,1
A0962005.0,3,1
A0962005.0,4,1
A0962005.0,5,1
A0962005.0,6,1
A0962005.0,7,1
A0962005.0,8,1
A0962005.0,9,1
A0962005.0,10,1
A0962005.0,11,1
A0962005.0,12,1
A0962005.0,13,1
A0962005.0,14,1
A0962005.0,15,1
A0962005.0,16,1
A0972005.0,1,1
A0972005.0,2,1
A0972005.0,3,1
A0972005.0,4,1
A0972005.0,5,1
A0972005.0,6,1
A0972005.0,7,0
A0972005.0,8,1
A0972005.0,9,1
A0972005.0,10,1
A0972005.0,11,1
A0972005.0,12,1
A0972005.0,13,1
A0972005.0,14,1
A0972005.0,15,1
A0972005.0,16,1
A0972005.0,17,0
A0972005.0,18,0
A0992005.0,1,0
A0992005.0,2,0
A0992005.0,3,0
A0992005.0,4,1
A0992005.0,5,1
A0992005.0,6,1
A0992005.0,7,0
A0992005.0,8,0
A0992005.0,9,0
A1002005.0,1,1
A1002005.0,2,1
A1002005.0,3,1
A1002005.0,4,1
A1002005.0,5,1
A1002005.0,6,1
A1002005.0,7,0
A1002005.0,8,0
A1012005.0,1,1
A1012005.0,2,1
A1012005.0,3,1
A1012005.0,4,1
A1012005.0,5,1
A1012005.0,6,1
A1012005.0,7,1
A1012005.0,8,1
A1012005.0,9,1
A1012005.0,10,1
A1012005.0,11,1
A1012005.0,12,1
A1012005.0,13,1
A1012005.0,14,1
A1012005.0,15,1
A1012005.0,16,0
A1012005.0,17,1
A1012005.0,18,1
A1012005.0,19,1
A1012005.0,20,1
A1012005.0,21,1
A1012005.0,22,0
A1022005.0,1,1
A1022005.0,2,1
A1022005.0,3,1
A1022005.0,4,1
A1022005.0,5,1
A1022005.0,6,1
A1022005.0,7,1
A1022005.0,8,1
A1022005.0,9,1
A1022005.0,10,1
A1022005.0,11,1
A1022005.0,12,0
A1022005.0,13,0
A1022005.0,14,1
A1022005.0,15,0
A1022005.0,16,1
A1022005.0,17,1
A1022005.0,18,1
A1022005.0,19,1
A1022005.0,20,1
A1022005.0,21,1
A1022005.0,22,1
A1022005.0,23,0
A1022005.0,24,1
A1022005.0,25,1
A1022005.0,26,0
A1022005.0,27,1
A1042005.0,1,0
A1042005.0,2,1
A1042005.0,3,1
A1042005.0,4,1
A1042005.0,5,1
A1042005.0,6,0
A1042005.0,7,1
A1042005.0,8,1
A1042005.0,9,0
A1042005.0,10,1
A1042005.0,11,0
A1042005.0,12,0
A1042005.0,13,0
